Date,Close,High,Low,Open,Volume
2021-05-10,538.5149536132812,546.1065696032821,533.3722460071517,546.1065696032821,19973390
2021-05-11,531.3836059570312,534.6553732626977,527.9845504435955,530.0661221869955,16172480
2021-05-12,524.8893432617188,532.8825552843465,522.0485851364382,530.2475270220345,15393360
2021-05-14,522.1414794921875,529.4539455838008,515.9359844626249,529.4539455838008,15257620
2021-05-17,531.9126586914062,537.7802330893021,520.6427785318936,524.0663473638919,24115830
2021-05-18,557.2491455078125,558.8409360794674,538.8578182186459,538.8578182186459,31478830
2021-05-19,551.6116943359375,560.5942732781933,548.0656798853868,555.8972838792772,22509060
2021-05-20,547.4534912109375,554.236955749258,543.1679013669691,551.2982655705367,14888270
2021-05-21,551.6655883789062,557.8613386453907,547.213489607387,554.4328668538914,18569660
2021-05-24,548.8394775390625,557.1755704494911,547.5758624569993,551.8859647170389,12150600
2021-05-25,550.38232421875,554.3152852189675,546.7922462463555,552.473701431173,13155460
2021-05-26,565.3206787109375,567.6373364083898,547.1938545997629,552.4737152703012,29167460
2021-05-27,556.6074829101562,566.3982740356734,553.5512499046165,566.1827389993853,21525900
2021-05-28,549.6084594726562,563.2488656974216,547.7815835873546,560.7020251763429,15263750
2021-05-31,551.2933959960938,554.8932797231193,544.6372790831371,550.5146597926673,17958110
2021-06-01,566.6577758789062,569.9099333083112,551.0435340107047,552.8655672428237,28534510
2021-06-02,568.9940185546875,572.5547406653349,562.5191195833179,563.8856294993793,20131950
2021-06-03,578.08935546875,579.4117421231401,566.2023442278673,572.0650167369633,22303780
2021-06-04,587.096435546875,588.7176417777057,577.9424436752852,579.4117888710697,24453670
2021-06-07,561.2653198242188,572.4421717914772,556.6320040361419,568.1467766810381,28358050
2021-06-08,563.77783203125,569.8119753534322,560.324907321205,563.3468217939512,17890070
2021-06-09,555.8532104492188,567.6569363396181,551.2296405510677,567.6569363396181,15381120
2021-06-10,596.2015380859375,599.003075323823,556.0982063342332,559.8205356460586,52961200
2021-06-11,599.4927368164062,610.2679330663743,592.1656224985236,598.0576502819381,37027210
2021-06-14,606.7562255859375,612.1291761293168,585.3478871862036,594.5655522259224,26336010
2021-06-15,603.5236206054688,611.2278762355272,602.4314171144714,609.190427660631,15236610
2021-06-16,595.731201171875,603.4991908969264,593.8896771387999,601.4518772556619,14816580
2021-06-17,592.660400390625,599.003049815742,579.9015625362539,579.9015625362539,18718570
2021-06-18,596.26513671875,602.2355467491625,584.3144516703923,596.5442859720246,27096150
2021-06-21,599.1009521484375,600.9621465254968,586.4744253480275,587.7380406117328,12719620
2021-06-22,589.3837280273438,606.2518416861044,587.7380686097733,602.4315203250177,15406110
2021-06-23,589.26611328125,599.0029751544218,587.8359292985649,592.7337459392389,12382150
2021-06-24,592.0089111328125,598.3173017037266,588.8155249417871,590.3828622255011,10824210
2021-06-25,595.1631469726562,598.2193799958862,590.6963402627197,593.3215629986836,9619940
2021-06-28,591.3672485351562,599.2674285372946,589.2072948284939,597.5335824528366,8284810
2021-06-29,592.8709106445312,601.2217120938454,587.9437380981774,591.6562616601515,13100790
2021-06-30,589.2906494140625,599.9825620367906,587.7380199544072,592.6358367873605,12257940
2021-07-01,584.5201416015625,591.6562339444093,581.8606009320847,591.6562339444093,11206010
2021-07-02,587.5176391601562,590.6767070864177,584.3095452355691,587.7380170014106,8112980
2021-07-05,594.8594970703125,597.1369341910881,588.3306686131904,590.5788097088379,8631790
