Date,Close,High,Low,Open,Volume
2021-05-10,2765.136474609375,2781.575170224942,2747.115397601112,2765.5320163029514,2137153
2021-05-11,2745.005859375,2749.8407827575666,2717.358716701784,2747.1155582763954,2415625
2021-05-12,2714.23828125,2742.720290729441,2699.2939719735896,2742.720290729441,1978558
2021-05-14,2682.50341796875,2723.8200362366615,2672.3940326478782,2723.8200362366615,2043935
2021-05-17,2698.54638671875,2703.337313029576,2668.8775405417787,2685.580002093259,2890462
2021-05-18,2715.292236328125,2746.235694183995,2705.7981647561896,2725.137852743401,2098538
2021-05-19,2709.31494140625,2740.961709054084,2696.216781754915,2711.073095164463,1986041
2021-05-20,2689.97509765625,2715.292553263747,2683.030476552131,2696.2166289916227,2329027
2021-05-21,2707.99609375,2714.7649422146983,2685.6676287837586,2690.854096078153,1685566
2021-05-24,2708.875732421875,2729.5340415933547,2700.5245010546814,2708.875732421875,1652260
2021-05-25,2750.8359375,2763.4240595646675,2722.656297882168,2731.401643786127,1841613
2021-05-26,2790.14599609375,2795.887946061966,2741.825321802558,2756.135984743549,1923753
2021-05-27,2809.138671875,2842.4861513917554,2793.06125468533,2793.193674959177,5959785
2021-05-28,2776.983642578125,2825.0392585195646,2769.960623856827,2817.530555049453,1763701
2021-05-31,2790.720703125,2800.6146992644194,2763.7337050232063,2782.637888857994,1652799
2021-06-01,2785.287841796875,2800.261039677647,2766.736923725916,2799.068610059735,1377441
2021-06-02,2764.484375,2790.9856875450187,2751.719619257796,2783.388774016387,2240078
2021-06-03,2774.907958984375,2786.656916039065,2758.477060767355,2786.656916039065,1281706
2021-06-04,2777.116455078125,2788.6887800926147,2760.5531362605616,2763.2032672713717,1836060
2021-06-07,2811.96533203125,2818.369814617938,2768.149966770133,2778.220377259856,2559821
2021-06-08,2826.938232421875,2854.1904934720615,2815.4985457843964,2825.0390585340924,2574057
2021-06-09,2827.026611328125,2844.4733031721153,2814.6151241231973,2828.572520732023,1710925
2021-06-10,2841.6474609375,2848.007732839972,2820.6230431011263,2835.640453603074,1874324
2021-06-11,2892.0,2923.0948308603947,2836.5238748542542,2837.0097753940586,3452954
2021-06-14,2894.251953125,2922.829066049496,2888.9516917972583,2896.5928156108116,1847360
2021-06-15,2882.238525390625,2913.377567002768,2872.3447453737463,2913.377567002768,1304985
2021-06-16,2892.485595703125,2910.4621884354497,2873.62541029358,2881.6642273428124,1635552
2021-06-17,2930.823974609375,2946.9898164726833,2879.80895402805,2884.6675274167474,2273413
2021-06-18,2912.759033203125,2966.3799741161924,2893.059682915584,2960.1079111317467,3380431
2021-06-21,2891.381591796875,2902.7770698023915,2872.4771929821286,2884.226151218749,1130569
2021-06-22,2916.2041015625,2939.03948321946,2901.893437333948,2918.6776002896086,1708688
2021-06-23,2881.04541015625,2940.7617764131733,2876.6285255416315,2940.7617764131733,1467104
2021-06-24,2980.16064453125,2988.4643018161614,2896.151408071027,2901.0099814260343,4155204
2021-06-25,2986.52099609375,3003.17252309465,2959.312941438819,2981.618210624291,2722861
2021-06-28,2947.6083984375,2995.9732923655597,2944.2957344698248,2995.9732923655597,1355238
2021-06-29,2951.23046875,2973.7123727957182,2938.55392110652,2952.2462661469986,1497322
2021-06-30,2955.55859375,2987.5810099566615,2949.1541105086676,2955.7794379997013,1693146
2021-07-01,2951.8037109375,2969.9129361579753,2943.720899118557,2966.3794287978826,990310
2021-07-02,2937.626220703125,2950.21434389237,2910.9040644592897,2942.529006552582,1682274
2021-07-05,2933.695068359375,2980.5140501790215,2916.9109050655393,2952.2459856841406,1972858
2021-07-06,2881.8408203125,2939.878645879054,2876.3639260649975,2926.6279909246714,2159420
2021-07-07,2893.01513671875,2899.8613076965835,2863.5546464924696,2893.0593486974058,2640710
2021-07-08,2878.484375,2913.3777715973606,2854.986457100049,2913.3777715973606,2485811
2021-07-09,2834.006103515625,2899.2435873844856,2827.6900436373367,2870.9755207189455,6365067
2021-07-12,2820.7109375,2858.6077212079454,2816.5148971181284,2857.724344285446,1892226
2021-07-13,2815.808349609375,2839.173627711881,2804.721925322098,2839.173627711881,1809339
2021-07-14,2839.659912109375,2846.2410283989343,2813.556075558847,2815.322829766419,2044279
2021-07-15,2835.587890625,2861.173337371803,2827.6644533089197,2857.4107907448265,2232968
2021-07-16,2828.3720703125,2850.5490007565263,2825.893173423825,2844.4845758805604,1256526
2021-07-19,2819.341796875,2832.7983868188567,2811.728089019713,2815.2693082754054,1597058
2021-07-20,2838.110595703125,2846.2553578539632,2794.155076123223,2819.3421743627855,1811945
2021-07-22,2847.450439453125,2855.063931743701,2824.1225693914685,2824.1225693914685,2859334
2021-07-23,2844.351806640625,2869.760012901406,2838.862743596103,2859.5346985379906,1776193
2021-07-26,2830.806396484375,2854.443991333239,2824.8748975730673,2832.9753500089523,1259611
2021-07-27,2817.88134765625,2841.8288897839234,2798.581656516541,2832.975840283039,1121367
2021-07-28,2831.02783203125,2836.915022702332,2773.128766395787,2822.351801458965,1660654
2021-07-29,2829.257080078125,2855.50628054373,2824.3879037521106,2833.196643150491,1731997
2021-07-30,2804.1591796875,2853.7805664074917,2799.6442540307867,2849.7966940486167,2999943
2021-08-02,2850.150146484375,2855.019322815732,2803.760262073905,2815.2692243116567,2608669
